shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ccbecb36-e881-4bcd-ba33-478f67e1f705,44.3542058380965,-79.6993203281951,57,10382.82
c2a4f835-e13c-4507-9e39-0943c9f53dde,44.3605720615728,-79.632372387193,21,4748.46
4e7cc394-7da9-4bd5-b91f-3c22b3d6cbba,44.3337124188967,-79.6917658860544,73,13095.97
e94a03ac-5ab6-47f0-98dd-fdc5468f4e6b,44.3877725704445,-79.6918381367886,97,14844.14
e9658958-b62d-4fa6-8ac0-d1becdbaccf5,44.3255075410311,-79.7293610709525,81,10734.66
6444fbc6-4fd5-4815-9ff3-00ad9fb8282d,44.33163557,-79.72400905,34,6522.36
50cabe2d-cffc-4408-a655-77cc879c3c26,44.4149695460781,-79.6918539857744,55,5078.25
6444fbc6-4fd5-4815-9ff3-00ad9fb8282d,44.3361183605265,-79.7192290257948,38,7196.73
50cabe2d-cffc-4408-a655-77cc879c3c26,44.4181396428102,-79.6960395686096,53,4508.02
93907717-eb30-4895-8129-2e8b7cfe07f8,44.3870481483369,-79.7092029278996,68,8826.65
b8b26c2f-358a-41fc-828e-4e1fa8f4ff07,44.364072,-79.61601,96,19820.28
162ac37d-fa48-4e85-9f25-48c512d2e21a,44.3711314,-79.68436993,148,14401.58
b8b26c2f-358a-41fc-828e-4e1fa8f4ff07,44.3814951130103,-79.6937303285994,29,4695.88
b8b26c2f-358a-41fc-828e-4e1fa8f4ff07,44.35185862,-79.62838858,111,23253.58
4e7cc394-7da9-4bd5-b91f-3c22b3d6cbba,44.3669157603588,-79.713530310504,39,8073.55
50cabe2d-cffc-4408-a655-77cc879c3c26,44.4149560901054,-79.6658617281048,99,8699.72
3237ca3b-f1ac-48a7-980c-9d18244b5bbd,44.335872938387,-79.6820482422142,114,20755.48
50cabe2d-cffc-4408-a655-77cc879c3c26,44.3926532491328,-79.6856400739529,138,14690.96
e94a03ac-5ab6-47f0-98dd-fdc5468f4e6b,44.4136047013762,-79.6709237796619,197,25619.99
4182d882-c70a-44a1-afec-35c88a51c655,44.34217844,-79.70716838,130,16345.54
c2a4f835-e13c-4507-9e39-0943c9f53dde,44.3522636555263,-79.6106239247879,13,1951.8
50cabe2d-cffc-4408-a655-77cc879c3c26,44.4075769585796,-79.6843647838693,61,6181.41
e9658958-b62d-4fa6-8ac0-d1becdbaccf5,44.33449674,-79.68796346,103,15038.72
d9ae4601-58b0-47b8-b790-63d532d18e8e,44.39018841,-79.69253335,69,8481.56
50cabe2d-cffc-4408-a655-77cc879c3c26,44.4152747875054,-79.6629051475336,106,9037.78
d2167ad3-2b19-48da-9f63-c6ad1b446a8c,44.3549608799792,-79.7140174933682,69,11598.14
efbf576e-8a9f-4573-8dfd-45c216b1f38a,44.4152747875054,-79.6629051475336,108,9064.44
6444fbc6-4fd5-4815-9ff3-00ad9fb8282d,44.3217497659772,-79.7189192306351,17,4317.03
4bfaaae7-c649-4dc8-a82f-0dcd03d5bc9f,44.349404,-79.628225,24,6199.36
e3f45360-dc41-408d-9866-59409689dba9,44.4038,-79.655301,23,4597.95
3237ca3b-f1ac-48a7-980c-9d18244b5bbd,44.3861174217533,-79.6932370777868,27,4743.71
d2167ad3-2b19-48da-9f63-c6ad1b446a8c,44.3409825468649,-79.6792332636853,5,155.5
4bfaaae7-c649-4dc8-a82f-0dcd03d5bc9f,44.34733971,-79.63193984,22,5685.27
e3f45360-dc41-408d-9866-59409689dba9,44.3984106314398,-79.6980873874874,97,14177.02
101c2c2f-1f1f-43bf-b133-5a2eeb4e7e42,44.40902611,-79.71030063,59,9909.27
93907717-eb30-4895-8129-2e8b7cfe07f8,44.4123534507962,-79.6734557851229,13,750.52
4182d882-c70a-44a1-afec-35c88a51c655,44.3304910856778,-79.7257253364161,149,18874.13
e94a03ac-5ab6-47f0-98dd-fdc5468f4e6b,44.3508007735491,-79.6280929224546,33,6585.75
162ac37d-fa48-4e85-9f25-48c512d2e21a,44.371579848026,-79.6907117778487,140,13892.68
e94a03ac-5ab6-47f0-98dd-fdc5468f4e6b,44.41804245,-79.69606761,173,22547.66
efbf576e-8a9f-4573-8dfd-45c216b1f38a,44.3972968695937,-79.6565860305182,125,12004.85
162ac37d-fa48-4e85-9f25-48c512d2e21a,44.37159264,-79.67856723,150,14865.33
162ac37d-fa48-4e85-9f25-48c512d2e21a,44.3877669949444,-79.6918414577983,103,11467.23
d2167ad3-2b19-48da-9f63-c6ad1b446a8c,44.3281656103233,-79.6978786407637,37,3991.04
f9e81123-679f-41c6-b74a-2862a878c601,44.3449342694257,-79.7020528360151,92,12231.44
3237ca3b-f1ac-48a7-980c-9d18244b5bbd,44.36978945,-79.70888486,47,7840.54
e3f45360-dc41-408d-9866-59409689dba9,44.41205785,-79.68921308,81,10309.73
e94a03ac-5ab6-47f0-98dd-fdc5468f4e6b,44.3908850485614,-79.6985773562537,103,15719.1
ccbecb36-e881-4bcd-ba33-478f67e1f705,44.33718263,-79.71954061,39,7321.5
863a974c-073c-488e-b1ec-ffe314c0664b,44.4088840132287,-79.7101417011107,62,6209.14
d9ae4601-58b0-47b8-b790-63d532d18e8e,44.3599108970112,-79.6975581167673,111,14194.63
e94a03ac-5ab6-47f0-98dd-fdc5468f4e6b,44.40971361,-79.70817312,158,21137.96
4e7cc394-7da9-4bd5-b91f-3c22b3d6cbba,44.3343092104381,-79.6892285161751,75,13308.91
162ac37d-fa48-4e85-9f25-48c512d2e21a,44.375324212034,-79.6910135263809,128,13322.21
162ac37d-fa48-4e85-9f25-48c512d2e21a,44.3488020241339,-79.6700149707976,205,24869.24
d9ae4601-58b0-47b8-b790-63d532d18e8e,44.3986084698801,-79.6533217819525,39,4382.51
4e7cc394-7da9-4bd5-b91f-3c22b3d6cbba,44.388220425287,-79.6907683355958,2,87.39
f9e81123-679f-41c6-b74a-2862a878c601,44.3390486047798,-79.679194752733,107,15298.84
bbefbab1-dc85-4f94-b5b2-4658e307816d,44.375324212034,-79.6910135263809,22,1779.61
4182d882-c70a-44a1-afec-35c88a51c655,44.3905631834604,-79.6810343671462,60,7052.34
e3f45360-dc41-408d-9866-59409689dba9,44.4166503498942,-79.6600983834325,30,6506.35
e3f45360-dc41-408d-9866-59409689dba9,44.4153454551307,-79.6658570865308,50,7187.09
50cabe2d-cffc-4408-a655-77cc879c3c26,44.39039984,-79.69250726,6,465.91
e9658958-b62d-4fa6-8ac0-d1becdbaccf5,44.3559546384784,-79.6991620778538,43,5683.61
d9ae4601-58b0-47b8-b790-63d532d18e8e,44.3875993423223,-79.69168273757,73,9005
3237ca3b-f1ac-48a7-980c-9d18244b5bbd,44.33201262,-79.69937219,87,17157.71
e94a03ac-5ab6-47f0-98dd-fdc5468f4e6b,44.4142886647158,-79.6693265240983,200,25769.81
bbefbab1-dc85-4f94-b5b2-4658e307816d,44.3664460996655,-79.662775228189,67,4782.41
efbf576e-8a9f-4573-8dfd-45c216b1f38a,44.3892838333806,-79.6902003310275,142,15070.16
3237ca3b-f1ac-48a7-980c-9d18244b5bbd,44.3753003723663,-79.6907801621382,36,6121.39
d2167ad3-2b19-48da-9f63-c6ad1b446a8c,44.372957,-79.697584,81,14747.73
